Title,Type,Genre,Release Year,Duration,No of Seasons,No of Episodes,Awards Won,Award Nominations,ImDb Rating,Global Availability,Netflix Original,Original Language, Viewership 
Bloodhounds,TV Series,Action,2023,60,1,8,0,0,8.1,Available,No,Korean," 14,67,00,000 "
Extraction,Movie,Action,2020,118,NA,NA,4,15,6.8,Available,No,English," 8,61,00,000 "
The Witcher,TV Series,Action,2019,60,3,24,6,32,8,Available,Yes,English," 5,49,66,667 "
Bloodshot,Movie,Action,2020,109,NA,NA,1,7,5.7,Not Available,No,English," 4,09,00,000 "
Cobra Kai,TV Series,Action,2022,30,5,50,4,65,8.5,Available,No,English," 3,44,00,000 "
RRR,Movie,Action,2022,185,NA,NA,83,150,7.8,Not Available,No,Telugu," 2,94,00,000 "
The man from Toronto,Movie,Action,2022,112,NA,NA,1,1,5.8,Available,No,English," 2,89,00,000 "
Nobody,Movie,Action,2021,91,NA,NA,5,18,7.4,Not Available,No,English," 2,42,00,000 "
Vagabond,TV Series,Action,2019,60,1,16,0,0,8.1,Available,No,Korean," 2,18,00,000 "
The Dark Knight,Movie,Action,2008,152,NA,NA,163,164,9,Not Available,No,English," 1,83,00,000 "
Interceptor,Movie,Action,2022,98,NA,NA,0,2,4.7,Available,No,English," 1,80,00,000 "
Lupin,TV Series,Action,2021,45,2,17,4,19,7.5,Available,No,French," 1,64,50,000 "
Outside the wire,Movie,Action,2021,115,NA,NA,0,1,5.4,Available,No,English," 1,44,00,000 "
The Equalizer,Movie,Action,2014,132,NA,NA,2,16,7.2,Not Available,No,English," 1,36,00,000 "
Hunter Killer,Movie,Action,2018,121,NA,NA,1,0,6.6,Not Available,No,English," 1,31,00,000 "
Code 8,Movie,Action,2019,98,NA,NA,0,1,6.1,Not Available,No,English," 1,29,00,000 "
The Last Days of American Crime,Movie,Action,2020,149,NA,NA,0,0,3.7,Available,No,English," 1,18,00,000 "
The Do-Over,Movie,Action,2016,109,NA,NA,0,0,5.7,Available,No,English," 1,15,00,000 "
The hard way,Movie,Action,2019,94,NA,NA,0,0,4.8,Available,No,English," 1,11,00,000 "
Monster Hunter,Movie,Action,2020,103,NA,NA,0,2,5.2,Not Available,No,English," 87,00,000 "
The Hitman's Bodygaurd,Movie,Action,2017,118,NA,NA,1,8,6.9,Not Available,No,English," 83,00,000 "
Train to Busan,Movie,Action,2016,117,NA,NA,36,42,7.6,Not Available,No,Korean," 78,00,000 "
S.W.A.T,Movie,Action,2003,117,NA,NA,5,5,6.1,Not Available,No,English," 75,00,000 "
White house down,Movie,Action,2013,131,NA,NA,3,9,6.3,Not Available,No,English," 75,00,000 "
Wanted,Movie,Action,2008,109,NA,NA,4,25,6.7,Not Available,No,English," 70,00,000 "
The Cloverfield Paradox,Movie,Action,2018,102,NA,NA,0,1,5.5,Available,No,English," 50,00,000 "
Top Gun Maverick,Movie,Action,2022,131,NA,NA,107,234,8.2,Not Available,No,English," 47,00,000 "
The Night Comes for Us,Movie,Action,2018,121,NA,NA,0,2,6.9,Available,Yes,Indonesian," 43,00,000 "
Wrath of man,Movie,Action,2021,118,NA,NA,0,1,7.1,Not Available,No,English," 37,00,000 "
Unknown,Movie,Action,2011,113,NA,NA,0,3,6.8,Not Available,No,English," 28,00,000 "
The Foreigner,Movie,Action,2017,113,NA,NA,0,1,7,Not Available,No,English," 27,00,000 "
Killer Elite,Movie,Action,2011,114,NA,NA,2,8,6.4,Not Available,No,English," 23,00,000 "
Bennett's War,Movie,Action,2019,99,NA,NA,0,0,6.1,Not Available,No,English," 12,00,000 "
Attack on Finland,Movie,Action,2022,114,NA,NA,0,1,5.3,Not Available,No,Finnish," 12,00,000 "
The man from U.N.C.L.E,Movie,Action,2015,116,NA,NA,7,7,7.2,Not Available,No,English," 8,00,000 "
The art of War,Movie,Action,2000,117,NA,NA,2,9,5.7,Not Available,No,English," 7,00,000 "
The Protégé,Movie,Action,2021,109,NA,NA,1,1,6.1,Not Available,No,English," 6,00,000 "
The Legacy of a Whitetail Deer Hunter,Movie,Action,2018,83,NA,NA,0,0,5.5,Available,No,English," 4,00,000 "
Eraser,Movie,Action,1996,114,NA,NA,3,2,6.2,Not Available,No,English," 2,00,000 "
The Amazing Praybeyt Benjamin,Movie,Action,2014,105,NA,NA,2,3,4,Available,No,Filipi0," 2,00,000 "
JoJo's Bizarre Adventure,TV Series,Anime,2012,25,5,182,3,23,8.5,Not Available,No,Japanese," 1,29,00,000 "
InuYasha,TV Series,Anime,2000,25,6,167,2,1,7.9,Not Available,No,Japanese," 97,28,571 "
Skull Island,TV Series,Anime,2023,23,1,8,0,0,6.6,Available,No,English," 74,00,000 "
The Disastrous Life of Saiki K.,TV Series,Anime,2016,24,3,50,1,3,8.3,Available,No,Japanese," 72,75,000 "
A Whisker Away,Movie,Anime,2020,195,NA,NA,2,2,6.7,Available,Yes,Japanese," 60,00,000 "
Attack on Titan,TV Series,Anime,2013,25,4,94,40,88,9.1,Not Available,No,Japanese," 59,40,000 "
High-Rise Invasion,TV Series,Anime,2021,27,1,12,0,0,6.5,Available,Yes,Japanese," 55,00,000 "
Castlevania,TV Series,Anime,2021,26,4,32,3,6,8.3,Available,Yes,English," 54,75,000 "
Ultraman,TV Series,Anime,2019,24,3,31,0,1,6.8,Available,Yes,Japanese," 46,33,333 "
Toradora!,TV Series,Anime,2008,25,1,25,0,3,8,Not Available,No,Japanese," 44,00,000 "
A Silent Voice,Movie,Anime,2016,129,NA,NA,6,9,8.1,Not Available,No,Japanese," 38,00,000 "
Dorohedoro,TV Series,Anime,2020,25,1,13,0,7,8.1,Available,Yes,Japanese," 33,00,000 "
The Seven Deadly Sins: Grudge of Edinburgh Part 1,Movie,Anime,2022,52,NA,NA,0,0,5.5,Available,Yes,Japanese," 31,00,000 "
PokÃ©mon: Indigo League,TV Series,Anime,1997,23,1,52,0,1,7.5,Not Available,No,Japanese," 30,00,000 "
â€‹SAINT SEIYA: Knights of the Zodiac,TV Series,Anime,2019,24,2,12,0,0,4.7,Not Available,Yes,Japanese," 29,50,000 "
Ultramarine Magmell,TV Series,Anime,2019,24,1,13,0,0,6.1,Not Available,Yes,Japanese," 28,00,000 "
Devilman Crybaby,TV Series,Anime,2018,25,1,10,2,3,7.6,Available,Yes,Japanese," 27,00,000 "
Sword Art Online,TV Series,Anime,2012,24,4,96,15,44,7.5,Not Available,No,Japanese," 25,00,000 "
Glitter Force Doki Doki,TV Series,Anime,2017,25,2,30,0,0,6.3,Not Available,Yes,English," 24,00,000 "
